UUID,Name,CSP,Account ID,Region,Connection,Cost ($/h),CPU capacity,CPU used,Memory capacity (MB),Memory used (MB),Kubernetes version,CloudNatix version,CloudNatix channel
97483674-fb1c-40f8-8f50-b215458420ba,kpmg-india-partner-support-eks,aws,533811351211,ap-south-1,connected,1.1867500000000066,24000,906.9082023985566,1.03079215104e+11,4.140926234649044e+10,v1.29.4-eks-036c24b,21.2,stable
f413501e-5a79-4f52-8cfa-ec223ae7aa3d,kpmg-partner-migrate-eks,aws,533811351211,us-east-1,connected,0.7680000000000006,16000,713.200638429381,6.8719476736e+10,2.634355011689189e+10,v1.29.4-eks-036c24b,21.2,stable
ea1c3680-48c7-4e77-9b44-07455e8c58fb,kpmg-poc-eks,aws,533811351211,us-east-1,connected,1.599999999999996,32000,1275.1373911129406,1.37438953472e+11,3.07153139526017e+10,v1.29.4-eks-036c24b,21.2,stable
78bf67a8-9712-4151-b97b-781bda2b487d,kpmgusa-partner-eks,aws,533811351211,us-east-1,connected,1.0319999999999978,24000,2924.9601037361435,1.03079215104e+11,2.587318908564282e+10,v1.29.4-eks-036c24b,21.2,stable
dfbeb1ef-88ec-4612-b384-4bffe67185ef,kraft-sandbox-migrate-eks,aws,797382084246,us-east-1,connected,0.9792000000000027,24000,741.8256798634945,1.03079215104e+11,3.520359042069178e+10,v1.29.4-eks-036c24b,21.2,stable
3c3e6da9-59c7-4146-b906-66c8547581a3,kraftheinz-dev-support-eks,aws,797382084246,us-east-1,connected,0.9588000000000023,24000,554.2541598510678,1.03079215104e+11,3.771317463745008e+10,v1.29.4-eks-036c24b,21.2,stable
6eda17fd-5c14-4193-b755-232b5aaa8c54,kraftheinz-prod-migrate-eks,aws,797382084246,us-east-1,connected,3.0720000000000023,64000,1737.1758476013883,2.74877906944e+11,1.1882352850672388e+11,v1.29.4-eks-036c24b,21.2,stable
027bd047-0091-4759-a0fa-29a4c377c4fb,kraftheinz-qa-eks,aws,797382084246,us-east-1,disconnected,1.1520000000000008,24000,1226.692896420989,1.03079215104e+11,4.7232085359932076e+10,v1.29.4-eks-036c24b,21.2,stable
3bd17f76-6bb5-41bd-b6c2-fa511c3c1132,ktb-poc-eks,aws,533811351211,us-east-1,connected,0.6527999999999965,16000,734.7765765054484,6.8719476736e+10,2.5464960034239723e+10,v1.29.4-eks-036c24b,21.2,stable
5e72c6ad-fd74-4d40-a557-554e866dafef,kvf-dev-eks,aws,442049251927,eu-west-1,connected,0.7276000000000004,0,0,0,0,v1.29.4-eks-036c24b,21.2,stable
6fcda641-0873-41ec-a85b-bb6f47b568b3,kvf-prod-eks,aws,442049251927,eu-west-1,connected,1.0686624999999916,24000,526.7429679863244,1.03079215104e+11,2.9682305770783855e+10,v1.29.4-eks-036c24b,21.2,stable
364bc51c-0348-49fa-99b1-8678904d77cb,laitram-dev-support-eks,aws,368698334588,us-west-2,disconnected,0.6527999999999965,16000,369.45722682494136,6.8719476736e+10,2.29589891451805e+10,v1.29.4-eks-036c24b,21.2,stable
